variable,importance
"card_limit_avg_[-18.99, 4.932]",0.00208116091673
"pay_count_avg_(0, 0.2]",0.00208066862764
"card_limit_avg_[-18.99, 4.932]",0.00205619959625
"card_limit_avg_(14.244, 16.46]",0.00196266391341
"card_limit_avg_(14.244, 16.46]",0.00196118866237
"current_bill_balance_avg_(14.244, 16.46]",0.00195701264667
"last_rest_repay_money_avg_(0, 0.052]",0.00190063490807
"pay_count_avg_(1, 1.2]",0.00166627101338
"pay_count_avg_(1, 1.2]",0.00164964467661
bank_id_number_1,0.00122418673376
if_have_bill_detail,0.00101656362928
repay_condition_1,0.000751306698944
bank_id_number_12,0.000638243317818
"last_bill_money_avg_(0, 0.914]",0.000477218828316
bank_id_number_51,0.000145556365815
bill_year_count_2154,2.77362557007e-05
bill_year_count_2153,7.33243291437e-07
bill_year_count_2152,4.56222661876e-07
